Country Name,export,import,fert_rate,child_mort_rate,GDPpc,inflation,life_expectancy,health_exppc,health_exp%,,
Algeria,22.71346191,29.09410822,2.988,23.3,4022.150184,1.951768211,76.474,248.2058716,6.24337101,,
Angola,40.79075505,17.03878307,5.442,74.2,2142.238757,17.07970441,62.448,71.32600403,2.53335953,,
Antigua and Barbuda,70.88471449,68.52545025,1.468,6.6,18319.45605,1.431355982,78.691,760.2649536,4.44295979,,
Argentina,17.92487838,14.70573667,1.994,9.1,9963.672506,2.557544757,77.284,945.9919434,9.5100708,Chile,
Armenia,41.35080136,54.76335277,1.575,11.5,4828.505178,1.443446608,75.439,523.9990845,11.33526421,,
Australia,24.15153911,21.67518659,1.657,3.7,54941.43418,1.610767873,82.9,5427.462402,9.91078568,,
Austria,55.75720636,52.12879115,1.46,3.6,50070.40335,1.530895642,81.89512195,5242.183105,10.43403149,,
Azerbaijan,49.0506275,36.76751791,1.81,20.4,4805.753718,2.610571828,73.102,193.1088409,4.03829002,,
"Bahamas, The",35.6884058,36.23188406,1.398,22.4,32610.48505,2.491235274,71.205,2004.616333,5.74977493,,
Bahrain,76.48596076,65.21487421,1.857,7,25869.11291,1.005820047,80.019,940.3956909,4.01147509,,
Bangladesh,13.094756,18.48329528,2.031,30.7,2122.078851,5.591996399,72.806,45.85716248,2.48357606,,
Barbados,36.48213363,37.97060619,1.623,12.6,19002.96238,4.100289645,77.257,1143.322021,6.29990387,,
Belarus,65.09458399,65.75582211,1.382,3.1,6837.717826,5.59815595,74.22682927,399.3970947,5.86133957,,
Belgium,82.40255304,81.77436305,1.6,4.2,46638.68131,1.43681957,81.99512195,4960.393555,10.65604973,,
Belize,51.25181047,49.67928823,2.106,12.3,6210.565543,0.1870693852,73.931,293.4125977,5.96689224,,
Benin,29.63052719,34.05080512,5.13,88.4,1170.965533,-0.7050266345,60.454,29.12529182,2.38842916,,
Bhutan,33.93906381,48.18954167,1.46,28.6,3303.964211,2.725821043,71.391,115.9807587,3.60761595,,
Bolivia,24.96726229,31.43004445,2.688,26.3,3472.380831,1.83954505,67.841,245.9234772,6.9233799,,
Bosnia and Herzegovina,40.59494468,55.2309836,1.368,5.9,6011.370671,0.5627821541,77.241,553.822937,9.04909897,,
Botswana,37.15429887,46.08762958,2.883,45.9,6679.167674,2.772864429,65.464,481.5330505,6.04836559,,
Brazil,14.12291919,14.76733868,1.703,14.9,8845.259118,3.732976212,75.338,853.3879395,9.5912714,,
Brunei Darussalam,57.94604054,50.56361782,1.819,11.4,30748.73749,-0.3905220692,74.748,671.5626831,2.16031361,,
Bulgaria,63.93391746,60.70568238,1.58,6.6,9879.334343,3.103729448,75.11219512,697.8963623,7.12611389,,
Burkina Faso,27.61611212,31.04805512,4.971,87.8,772.1668949,-3.23338934,60.039,42.3445282,5.46494246,,
Burundi,5.17204,23.85417,5.271,56.6,216.9729681,-0.6867721708,62.351,20.56754112,7.99091434,,
Cabo Verde,50.64929202,65.25786357,1.932,14.9,3434.562745,1.106666743,76.004,177.8902741,4.93621731,,
